id,sku,brand,model,model_guess_from_sku,side,part_type,part_category,new_name_he,new_name_ar,new_name_en,current_title_he,current_name_ar,current_name_en,price,stock,notes
1265,HTP-DXF004L,Daf,,XF,L,tail_light_lens,lighting,מכסה בקלית אחורית דאף שמאל,غطاء ضوء خلفي داف يسار,DAF Tail Light Lens Cover – Left,מכסה פלסטיק לבקלית אחורית,عدسة المصباح الخلفي – يسار,Tail Light Lens – Left,50,instock,
1264,HTP-DXF004R,Daf,,XF,R,tail_light_lens,lighting,מכסה בקלית אחורית דאף ימין,غطاء ضوء خلفي داف يمين,DAF Tail Light Lens Cover – Right,מכסה פלסטיק לבקלית אחורית,عدسة استبدال للمصباح الخلفي – يمين,Replacement Tail Light Lens – Right,50,instock,
1109,HTP-LF001L,Daf,,LF,L,tail_light,lighting,פנס אחורי בקלית דאף שמאל,ضوء خلفي داف يسار,DAF Tail Light – Left,פנס איתות אחורי בקלית,مصباح خلفي عالي الجودة – يسار,High-Quality Tail Lamp – Left,100,instock,
1108,HTP-LF001R,Daf,,LF,R,tail_light,lighting,פנס אחורי בקלית דאף ימין,ضوء خلفي داف يمين,DAF Tail Light – Right,פנס איתות אחורי בקלית,مصباح خلفي أصلي الجودة,Original-Quality Rear Light,100,instock,
1111,HTP-LF002,Daf,,LF,,tail_light_lens,lighting,מכסה בקלית אחורית דאף,غطاء ضوء خلفي داف,DAF Tail Light Lens Cover,מכסה פלסטיק לבקלית אחורית,عدسة استبدال للمصباح الخلفي,Replacement Tail Light Lens,40,instock,الجهة غير معروفة
1128,HTP-LF003,Daf,,LF,,bumper_front,body,פגוש קדמי דאף,صدام أمامي داف,DAF Front Bumper,#N/A,صادم أمامي,Front Bumper,1000,outofstock,العنوان العبري كان #N/A؛ غير متوفر
1132,HTP-LF004L,Daf,,LF,L,cab_step,body,מדרגה דאף שמאל,درجة داف يسار,DAF Cab Step – Left,מדרגה דאף,لوحة دعم الدرجة – يسار,Step Support Panel – Left,900,instock,
1130,HTP-LF004R,Daf,,LF,R,cab_step,body,מדרגה דאף ימין,درجة داف يمين,DAF Cab Step – Right,מדרגה דאף,لوحة تركيب الدرجة – يمين,Step Mounting Panel – Right,900,instock,
1136,HTP-LF005L,Daf,,LF,L,lower_step,body,מדרגה תחתונה דאף שמאל,درجة سفلية داف يسار,DAF Lower Step – Left,מדרגה תחתונה,طقم درجة سفلية – يسار,Lower Step Kit – Left,430,instock,
1134,HTP-LF005R,Daf,,LF,R,lower_step,body,מדרגה תחתונה דאף ימין,درجة سفلية داف يمين,DAF Lower Step – Right,מדרגה תחתונה,درجة دخول سفلية – يمين,Lower Access Step – Right,430,instock,
2623,HTP-LF007L,Daf,,LF,L,door_handle,body,ידית דלת דאף שמאל,مقبض باب داف يسار,DAF Door Handle – Left,ידית דלת שמאל,مقبض الباب الأيسر,Door Handle – Left,360,instock,
1140,HTP-LF007R,Daf,,LF,R,door_handle,body,ידית דלת עם מנעול דאף ימין,مقبض باب بقفل داف يمين,DAF Door Handle with Lock – Right,ידית פתיחת דלת עם מפתיח,مقبض الباب الخارجي – يمين,Outer Door Handle – Right,360,instock,
2625,HTP-LF008L,Daf,,LF,L,headlight_frame,lighting,מסגרת פנס קדמי דאף שמאל,إطار ضوء أمامي داف يسار,DAF Headlight Frame – Left,מסגרת פנס שמאל,إطار المصباح – يسار,Headlight Frame – Left,450,instock,
2624,HTP-LF008R,Daf,,LF,R,headlight_frame,lighting,מסגרת פנס קדמי דאף ימין,إطار ضوء أمامي داف يمين,DAF Headlight Frame – Right,מסגרת פנס ימין,إطار المصباح – يمين,Headlight Frame – Right,450,instock,
2627,HTP-LF009-1,Daf,,LF,,grille_front,body,גריל קדמי דאף,شبك أمامي داف,DAF Front Grille,גריל קדמי דאף,شبك أمامي دي إيه إف,DAF Front Grille,650,instock,
1152,HTP-LF010L,Daf,,LF,L,corner_panel_front,body,מסית רוח כנף קדמית דאף שמאל,كاسر هواء زاوية أمامية داف يسار,DAF Front Corner Panel (Wind Deflector) – Left,מסית רוח כנף קדמי,لوحة زاوية المقصورة الأمامية – يسار,Front Cab Corner Panel – Left,470,instock,
2628,HTP-LF010R,Daf,,LF,R,corner_panel,body,לוח פינה דאף ימין,لوح زاوية داف يمين,DAF Corner Panel – Right,לוח פינה ימין,لوحة زاوية – يمين,Corner Panel – Right,470,instock,
1154,HTP-LF011-1,Daf,,LF,,bumper_front,body,פגוש קדמי דאף,صدام أمامي داف,DAF Front Bumper,פגוש קדמי דאף,غطاء صادم أمامي (بدون ثقوب تركيب),Front Bumper Cover (No Mounting Holes),900,instock,
2629,HTP-LF012,Daf,,LF,,lower_front_panel,body,לוח קדמי תחתון דאף,لوح أمامي سفلي داف,DAF Lower Front Panel,לוח קדמי תחתון,لوحة أمامية سفلية,Lower Front Panel,500,outofstock,غير متوفر
2630,HTP-LF013,Daf,,LF,,grille_front,body,גריל קדמי דאף,شبك أمامي داف,DAF Front Grille,גריל,شبك أمامي,Front Grille,300,outofstock,غير متوفر
1160,HTP-LF014,Daf,,LF,,sun_visor,body,מגן שמש קדמי דאף,واقية شمس أمامية داف,DAF Front Sun Visor,מגן שמש קדמי,واقي شمس للمقصورة,Cab Sun Visor,1100,instock,
2632,HTP-LF015L,Daf,,LF,L,headlight_xenon,lighting,פנס קדמי קסנון דאף שמאל,ضوء أمامي زينون داف يسار,DAF Xenon Headlight – Left,פנס קסנון שמאל,مصباح زينون أيسر,Xenon Headlight – Left,450,outofstock,غير متوفر
2631,HTP-LF015R,Daf,,LF,R,headlight_xenon,lighting,פנס קדמי קסנון דאף ימין,ضوء أمامي زينون داف يمين,DAF Xenon Headlight – Right,פנס קסנון ימין,مصباح زينون أيمن,Xenon Headlight – Right,450,outofstock,غير متوفر
1166,HTP-LF020,Daf,,LF,,coolant_tank,engine,מיכל עיבוי דאף,خزان مياه التبريد داف,DAF Coolant Expansion Tank,#N/A,خزان توسّع سائل التبريد,Coolant Expansion Tank,600,outofstock,العنوان العبري كان #N/A؛ غير متوفر
1170,HTP-LF021L,Daf,,LF,L,mud_guard,body,מגן פוטס דאף שמאל,رفرف (واقي طين) داف يسار,DAF Mud Guard – Left,מגן פוטס,واقي طين أمامي – يسار,Front Mud Guard – Left,300,instock,
1168,HTP-LF021R,Daf,,LF,R,mud_guard,body,מגן פוטס דאף ימין,رفرف (واقي طين) داف يمين,DAF Mud Guard – Right,מגן פוטס,واقي طين أمامي – يمين,Front Mud Guard – Right,300,instock,
2633,HTP-LF022,Daf,,LF,,air_filter_cover,filters,מכסה מסנן אוויר דאף,غطاء فلتر الهواء داف,DAF Air Filter Cover,מכסה מסנן אוויר,غطاء فلتر الهواء,Air Filter Cover,100,outofstock,غير متوفر
2635,HTP-LF024L,Daf,,LF,L,wiper_panel,body,לוח מגבים דאף שמאל,لوح المسّاحات داف يسار,DAF Wiper Panel – Left,לוח מגב שמאל,لوحة ماسحات – يسار,Wiper Panel – Left,100,outofstock,بدون صورة؛ غير متوفر
2634,HTP-LF024R,Daf,,LF,R,wiper_panel,body,לוח מגבים דאף ימין,لوح المسّاحات داف يمين,DAF Wiper Panel – Right,לוח מגב ימין,غطاء محرك الماسحات – يمين,Wiper Motor Cover – Right,100,outofstock,غير متوفر
2636,HTP-LF025,Daf,,LF,,wiper_panel,body,לוח מגבים מרכזי דאף,لوح المسّاحات أوسط داف,DAF Wiper Panel Centre,לוח מגב מרכזי,لوحة ماسحات مركزية,Central Wiper Panel,100,outofstock,غير متوفر
1179,HTP-LF029L,Daf,,LF,L,lower_step,body,מדרגה תחתונה דאף שמאל,درجة سفلية داف يسار,DAF Lower Step – Left,מדרגה תחתונה,طقم درجة سفلية – يسار,Lower Step Kit – Left,450,instock,
1178,HTP-LF029R,Daf,,LF,R,lower_step,body,מדרגה תחתונה דאף ימין,درجة سفلية داف يمين,DAF Lower Step – Right,מדרגה תחתונה,درجة دخول سفلية – يمين,Lower Access Step – Right,450,instock,
1180,HTP-LF030,Daf,,LF,,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף,زاوية صدام أمامي داف,DAF Front Bumper Corner,משקפים,صادم أمامي – طراز قصير,Front Bumper – Short Version,1250,instock,
2637,HTP-LF031,Daf,,LF,,bumper_front_large,body,פגוש קדמי גדול דאף,صدام أمامي كبير داف,DAF Large Front Bumper,פגוש קדמי גדול,صادم أمامي كبير,Large Front Bumper,1250,outofstock,غير متوفر
1183,HTP-LF032L,Daf,,LF,L,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף שמאל,زاوية صدام أمامي داف يسار,DAF Front Bumper Corner – Left,מעריך פגוש קדמי דאף,قطعة زاوية الصادم – يسار,Bumper Corner Piece – Left,100,instock,
1182,HTP-LF032R,Daf,,LF,R,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף ימין,زاوية صدام أمامي داف يمين,DAF Front Bumper Corner – Right,מעריך פגוש קדמי דאף,قطعة زاوية الصادم – يمين,Bumper Corner Piece – Right,100,instock,
2639,HTP-LF033L,Daf,,LF,L,bumper_corner_cover,body,מכסה משקפיים דאף שמאל,غطاء زاوية صدام داف يسار,DAF Front Bumper Corner Cover – Left,מכסה משקפים,غطاء زاوية الصادم الأمامي – يسار,Front Bumper Corner Cover – Left,100,instock,
2638,HTP-LF033R,Daf,,LF,R,bumper_corner_cover,body,מכסה משקפיים דאף ימין,غطاء زاوية صدام داف يمين,DAF Front Bumper Corner Cover – Right,מכסה משקפים,غطاء زاوية الصادم الأمامي – يمين,Front Bumper Corner Cover – Right,100,instock,
2640,HTP-LF037,Daf,,LF,,mirror_front,body,מראה קדמית דאף,مرآة أمامية داف,DAF Front Mirror,מראה קדמית,مرآة أمامية,Front Mirror,470,outofstock,غير متوفر
2641,HTP-LF038,Daf,,LF,,mirror,body,מראה דאף,مرآة داف,DAF Mirror,מראה,زجاج المرآة,Mirror Glass / Head,500,outofstock,غير متوفر
2642,HTP-LF039,Daf,,LF,,mirror_kit,body,ערכת מראה דאף,طقم مرآة داف,DAF Mirror Kit,ערכת מראה,طقم مرآة,Mirror Kit,500,outofstock,غير متوفر
1191,HTP-LF040,Daf,,LF,,bumper_front,body,פגוש קדמי דאף,صدام أمامي داف,DAF Front Bumper,פגוש קדמי דאף,صادم أمامي رمادي (تحضيري),Front Bumper – Grey Primer,1100,instock,
1192,HTP-LF041,Daf,,LF,,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף,زاوية صدام أمامي داف,DAF Front Bumper Corner,משקפים,صادم أمامي قياسي,Standard Front Bumper,950,instock,
1193,HTP-LF042,Daf,,LF,,bumper_front,body,פגוש קדמי דאף,صدام أمامي داف,DAF Front Bumper,פגוש קדמי,طقم صادم أمامي,Front Bumper Kit,1100,instock,
2644,HTP-LF043L,Daf,,LF,L,step_wall,body,קיר תמיכת מדרגה דאף שמאל,جدار دعم الدرجة داف يسار,DAF Step Support Wall – Left,קיר תמיכת מדרגה שמאל,جدار دعم الدرجة – يسار,Step Support Wall – Left,,outofstock,بدون سعر؛ غير متوفر
2643,HTP-LF043R,Daf,,LF,R,step_wall,body,קיר תמיכת מדרגה דאף ימין,جدار دعم الدرجة داف يمين,DAF Step Support Wall – Right,קיר תמיכת מדרגה ימין,جدار دعم الدرجة – يمين,Step Support Wall – Right,,outofstock,بدون سعر؛ غير متوفر
2646,HTP-LF044L,Daf,,LF,L,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף שמאל,زاوية صدام أمامي داف يسار,DAF Front Bumper Corner – Left,חתיכת פינת פגוש שמאל,قطعة زاوية الصادم – يسار,Bumper Corner Piece – Left,100,outofstock,غير متوفر
2645,HTP-LF044R,Daf,,LF,R,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף ימין,زاوية صدام أمامي داف يمين,DAF Front Bumper Corner – Right,חתיכת פינת פגוש ימין,قطعة زاوية الصادم – يمين,Bumper Corner Piece – Right,100,outofstock,غير متوفر
1202,HTP-LF045L,Daf,,LF,L,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף שמאל,زاوية صدام أمامي داف يسار,DAF Front Bumper Corner – Left,#N/A,لوحة زاوية الصادم – يسار,Bumper Corner Panel – Left,70,outofstock,العنوان العبري كان #N/A؛ غير متوفر
2647,HTP-LF045R,Daf,,LF,R,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף ימין,زاوية صدام أمامي داف يمين,DAF Front Bumper Corner – Right,לוח פינת פגוש ימין,لوحة زاوية الصادم – يمين,Bumper Corner Panel – Right,70,outofstock,غير متوفر
1206,HTP-LF046L,Daf,,LF,L,corner_panel_front,body,מסית רוח כנף קדמית דאף שמאל,كاسر هواء زاوية أمامية داف يسار,DAF Front Corner Panel (Wind Deflector) – Left,מסית רוח כנף קדמי,لوحة زاوية المقصورة الأمامية – يسار,Front Cab Corner Panel – Left,570,instock,
1204,HTP-LF046R,Daf,,LF,R,corner_panel_front,body,מסית רוח כנף קדמית דאף ימין,كاسر هواء زاوية أمامية داف يمين,DAF Front Corner Panel (Wind Deflector) – Right,מסית רוח כנף קדמי,لوحة زاوية المقصورة الأمامية – يمين,Front Cab Corner Panel – Right,570,instock,
1210,HTP-LF047L,Daf,,LF,L,corner_panel_outer,body,מסית רוח חיצוני דאף שמאל,كاسر هواء خارجي داف يسار,DAF Outer Wind Deflector Panel – Left,מסית רוח חיצוני מאן,إطار تركيب المصباح – يسار,Headlight Mounting Frame – Left,480,instock,
1208,HTP-LF047R,Daf,,LF,R,corner_panel_outer,body,מסית רוח חיצוני דאף ימין,كاسر هواء خارجي داف يمين,DAF Outer Wind Deflector Panel – Right,מסית רוח חיצוני מאן,إطار دعم المصباح – يمين,Headlight Support Frame – Right,480,instock,
1212,HTP-LF048,Daf,,LF,,grille_front,body,גריל קדמי דאף,شبك أمامي داف,DAF Front Grille,גריל קדמי דאף,لوحة الشبك السفلي,Lower Grille Panel,700,instock,
2649,HTP-LF049L,Daf,,LF,L,side_step,body,מדרגת צד דאף שמאל,درجة جانبية داف يسار,DAF Side Step – Left,מדרגת צד שמאל,درجة جانبية – يسار,Side Step – Left,400,outofstock,غير متوفر
2648,HTP-LF049R,Daf,,LF,R,side_step,body,מדרגת צד דאף ימין,درجة جانبية داف يمين,DAF Side Step – Right,מדרגת צד ימין,درجة جانبية – يمين,Side Step – Right,400,outofstock,غير متوفر
1218,HTP-LF051L,Daf,,LF,L,headlight_bracket,lighting,תושבת פנס קדמי דאף שמאל,قاعدة ضوء أمامي داف يسار,DAF Headlight Bracket – Left,תושבת פנס קדמי חזית,حامل المصباح الأمامي – يسار,Headlight Bracket – Left,500,instock,
1220,HTP-LF051R,Daf,,LF,R,headlight_bracket,lighting,תושבת פנס קדמי דאף ימין,قاعدة ضوء أمامي داف يمين,DAF Headlight Bracket – Right,תושבת פנס קדמי חזית,حامل المصباح الأمامي – يمين,Headlight Bracket – Right,500,instock,
1224,HTP-LF052L,Daf,,LF,L,cab_step,body,מדרגה דאף שמאל,درجة داف يسار,DAF Cab Step – Left,מדרגה,طقم درجة – يسار,Step Kit – Left,900,instock,
1222,HTP-LF052R,Daf,,LF,R,cab_step,body,מדרגה דאף ימין,درجة داف يمين,DAF Cab Step – Right,מדרגה,درجة مقصورة – يمين,Cab Step – Right,900,instock,
2651,HTP-LF053L,Daf,,LF,L,access_step,body,מדרגת גישה דאף שמאל,درجة صعود داف يسار,DAF Access Step – Left,מדרגת גישה שמאל,درجة دخول – يسار,Access Step – Left,400,outofstock,غير متوفر
2650,HTP-LF053R,Daf,,LF,R,access_step,body,מדרגת גישה דאף ימין,درجة صعود داف يمين,DAF Access Step – Right,מדרגת גישה ימין,درجة دخول – يمين,Access Step – Right,400,outofstock,غير متوفر
1231,HTP-LF054L,Daf,,LF,L,bumper_fog_cover,body,כיסוי ערפל לפגוש קדמי 12 טון דאף שמאל,غطاء ضوء ضباب للصدام الأمامي 12 طن داف يسار,DAF Front Bumper Fog Light Cover 12-Tonne – Left,כיסוי ערפל לפגוש קדמי דאף 12 טון,غطاء الصادم – يسار (12 طن),Bumper Cover – Left (12-Tonne),150,instock,
1230,HTP-LF054R,Daf,,LF,R,bumper_fog_cover,body,כיסוי ערפל לפגוש קדמי 12 טון דאף ימין,غطاء ضوء ضباب للصدام الأمامي 12 طن داف يمين,DAF Front Bumper Fog Light Cover 12-Tonne – Right,כיסוי ערפל לפגוש קדמי דאף 12 טון,غطاء صادم أمامي – يمين (12 طن),Front Bumper Cover – Right (12-Tonne),150,instock,
1235,HTP-LF055L,Daf,,LF,L,step_tread,body,מדרס מדרגה דאף שמאל,نعل درجة داف يسار,DAF Step Tread – Left,מדרס מדרגה,قوس دعم – يسار,Support Bracket – Left,300,instock,
1233,HTP-LF055R,Daf,,LF,R,step_tread,body,מדרס מדרגה דאף ימין,نعل درجة داف يمين,DAF Step Tread – Right,מדרס מדרגה,قوس تثبيت – يمين,Mounting Bracket – Right,300,instock,
1236,HTP-LF056,Daf,,LF,,bumper_cover,body,כיסוי פגוש קדמי דאף,غطاء صدام أمامي داف,DAF Front Bumper Cover,כיסוי פגוש קדמי דאף,شعار العلامة التجارية,Brand Emblem/Badge,500,instock,
1241,HTP-LF058L,Daf,,LF,L,mud_guard,body,מגן פוטס דאף שמאל,رفرف (واقي طين) داف يسار,DAF Mud Guard – Left,מגן פוטס,واقي طين أمامي – يسار,Front Mud Guard – Left,400,instock,
1239,HTP-LF058R,Daf,,LF,R,mud_guard,body,מגן פוטס דאף ימין,رفرف (واقي طين) داف يمين,DAF Mud Guard – Right,מגן פוטס,واقي طين لعجلة أمامية – يمين,Front Wheel Mud Guard – Right,400,instock,
1242,HTP-LF059,Daf,,LF,,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף,زاوية صدام أمامي داف,DAF Front Bumper Corner,משקפים,صادم أمامي متوسط,Medium Front Bumper,900,instock,
1244,HTP-LF060,Daf,,LF,,coolant_tank,engine,מיכל עיבוי דאף,خزان مياه التبريد داف,DAF Coolant Expansion Tank,מיכל עיפוי,خزان توسّع سائل التبريد الثانوي,Secondary Coolant Expansion Tank,500,instock,
1248,HTP-LF061L,Daf,,LF,L,cab_step,body,מדרגה דאף שמאל,درجة داف يسار,DAF Cab Step – Left,מדרגה,رفرف أمامي – يسار,Front Fender – Left,1000,instock,
1246,HTP-LF061R,Daf,,LF,R,cab_step,body,מדרגה דאף ימין,درجة داف يمين,DAF Cab Step – Right,מדרגה,رفرف أمامي – يمين,Front Fender – Right,1000,instock,
2652,HTP-LF062,Daf,,LF,,bumper_step,body,מדרגה קדמית לפגוש דאף,درجة أمامية للصدام داف,DAF Front Bumper Step,מדרגה קדמית לפגוש,درجة أمامية للصادم,Front Bumper Step,50,outofstock,غير متوفر
1252,HTP-LF063,Daf,,LF,,battery_cover,electrical,מכסה מצברים דאף,غطاء البطاريات داف,DAF Battery Cover,מכסה מצברים,غطاء صندوق البطارية,Battery Compartment Cover,800,instock,
1126,HTP-XF001L-EM,Daf,,XF,L,headlight,lighting,פנס קדמי דאף שמאל,ضوء أمامي داف يسار,DAF Headlight – Left,פנס קדמי חזית,مصباح أمامي رئيسي معتمد – يسار,Approved Main Headlight – Left,800,instock,
1124,HTP-XF001R-EM,Daf,,XF,R,headlight,lighting,פנס קדמי דאף ימין,ضوء أمامي داف يمين,DAF Headlight – Right,פנס קדמי חזית,مصباح أمامي رئيسي معتمد – يمين,Approved Main Headlight – Right,800,instock,
1267,HTP-XG001L,Daf,,XG,L,headlight_cover,lighting,כיסוי פנס קדמי דאף שמאל,غطاء ضوء أمامي داف يسار,DAF Headlight Cover – Left,כיסוי פנס קמי,واقي المصباح الأمامي – يسار,Headlight Guard – Left,300,instock,
1266,HTP-XG001R,Daf,,XG,R,headlight_cover,lighting,כיסוי פנס קדמי דאף ימין,غطاء ضوء أمامي داف يمين,DAF Headlight Cover – Right,כיסוי פנס קמי,واقي المصباح الأمامي – يمين,Headlight Guard – Right,300,instock,
1102,HTP-XG030L,Daf,,XG,L,fog_light,lighting,פנס ערפל קדמי דאף שמאל,ضوء ضباب أمامي داف يسار,DAF Front Fog Light – Left,פנס ערפל קדמי,طقم مصباح ضباب – يسار,Fog Light Kit – Left,700,instock,
1101,HTP-XG030R,Daf,,XG,R,fog_light,lighting,פנס ערפל קדמי דאף ימין,ضوء ضباب أمامي داف يمين,DAF Front Fog Light – Right,פנס ערפל קדמי,مصباح ضباب أمامي أصلي – يمين,OEM Front Fog Light – Right,700,instock,
1104,HTP-XG031L,Daf,,XG,L,headlight,lighting,פנס קדמי דאף שמאל,ضوء أمامي داف يسار,DAF Headlight – Left,פנס קדמי חזית,طقم مصباح رئيسي – يسار,Main Headlight Kit – Left,1200,instock,
1103,HTP-XG031R,Daf,,XG,R,headlight,lighting,פנס קדמי דאף ימין,ضوء أمامي داف يمين,DAF Headlight – Right,פנס קדמי חזית,مصباح رئيسي – يمين,Main Headlight – Right,1200,instock,
1122,HTP-IA017-2L-EM,Iveco,,?,L,headlight,lighting,פנס קדמי איווקו שמאל,ضوء أمامي إيفيكو يسار,Iveco Headlight – Left,#N/A,مصباح أمامي معتمد – يسار (هيكل قيادة يسرى),Approved Headlight – Left (LHD),300,outofstock,العنوان العبري كان #N/A؛ غير متوفر
1120,HTP-IA017-2R-EM,Iveco,,?,R,headlight,lighting,פנס קדמי איווקו ימין,ضوء أمامي إيفيكو يمين,Iveco Headlight – Right,#N/A,مصباح أمامي معتمد – يمين (هيكل قيادة يسرى),Approved Headlight – Right (LHD),300,outofstock,العنوان العبري كان #N/A؛ غير متوفر
1119,HTP-INS001L,Iveco,,Stralis?,L,headlight,lighting,פנס קדמי איווקו שמאל,ضوء أمامي إيفيكو يسار,Iveco Headlight – Left,#N/A,وحدة مصباح أمامي – يسار,Headlight Unit – Left,1100,outofstock,العنوان العبري كان #N/A؛ غير متوفر
1117,HTP-INS001R,Iveco,,Stralis?,R,headlight,lighting,פנס קדמי איווקו ימין,ضوء أمامي إيفيكو يمين,Iveco Headlight – Right,#N/A,مصباح أمامي – يمين,Headlight – Right,1100,outofstock,العنوان العبري كان #N/A؛ غير متوفر
1115,HTP-ISW032L-EM,Iveco,,S-Way?,L,headlight,lighting,פנס קדמי איווקו שמאל,ضوء أمامي إيفيكو يسار,Iveco Headlight – Left,פנס קדמי חזית איווקו,طقم مصباح LED – يسار,LED Headlight Kit – Left,6700,instock,
1113,HTP-ISW032R-EM,Iveco,,S-Way?,R,headlight,lighting,פנס קדמי איווקו ימין,ضوء أمامي إيفيكو يمين,Iveco Headlight – Right,פנס קדמי חזית איווקו,مصباح LED معتمد – يمين,E-Marked LED Headlight – Right,6700,instock,
1093,HTP-MTG018L,Man,,TGX/TGS?,L,tail_light,lighting,פנס אחורי בקלית מאן שמאל,ضوء خلفي مان يسار,MAN Tail Light – Left,פנס איתות אחורי בקלית,مصباح خلفي معتمد – يسار,Approved Tail Lamp – Left,100,instock,
1091,HTP-MTG018R,Man,,TGX/TGS?,R,tail_light,lighting,פנס אחורי בקלית מאן ימין,ضوء خلفي مان يمين,MAN Tail Light – Right,פנס איתות אחורי בקלית,مصباح خلفي معتمد – يمين,Approved Tail Lamp – Right,100,instock,
1096,HTP-MTG019L,Man,,TGX/TGS?,L,tail_light_lens,lighting,מכסה בקלית אחורית מאן שמאל,غطاء ضوء خلفي مان يسار,MAN Tail Light Lens Cover – Left,מכסה פלסטיק לבקלית אחורית,عدسة المصباح الخلفي – يسار,Tail Light Lens – Left,60,instock,
1095,HTP-MTG019R,Man,,TGX/TGS?,R,tail_light_lens,lighting,מכסה בקלית אחורית מאן ימין,غطاء ضوء خلفي مان يمين,MAN Tail Light Lens Cover – Right,מכסה פלסטיק לבקלית אחורית,عدسة استبدال للمصباح الخلفي – يمين,Replacement Tail Light Lens – Right,60,instock,
1269,HTP-MTG057L,Man,,TGX/TGS?,L,cab_step,body,מדרגה מאן שמאל,درجة مان يسار,MAN Cab Step – Left,מדרגה,لوحة دعم الدرجة – يسار,Step Support Panel – Left,950,instock,
1268,HTP-MTG057R,Man,,TGX/TGS?,R,cab_step,body,מדרגה מאן ימין,درجة مان يمين,MAN Cab Step – Right,מדרגה,لوحة تركيب الدرجة – يمين,Step Mounting Panel – Right,950,instock,
1271,HTP-MTG058L,Man,,TGX/TGS?,L,cab_step,body,מדרגה מאן שמאל,درجة مان يسار,MAN Cab Step – Left,מדרגה,لوحة تركيب الدرجة – يسار,Step Mounting Panel – Left,950,instock,
