id,sku,brand,model,model_guess_from_sku,side,part_type,part_category,new_name_he,new_name_ar,new_name_en,current_title_he,current_name_ar,current_name_en,price,stock,notes,oe_number,photos,inventory_name_he,models_raw,compat_models,model_note
1263,HTP-DXF003L,Daf,CF / XF,XF,L,tail_light,lighting,פנס אחורי בקלית דאף שמאל,ضوء خلفي داف يسار,DAF Tail Light – Left,פנס איתות אחורי בקלית,طقم المصباح الخلفي الكامل – يسار,Complete Rear Tail Light Assembly – Left,130,instock,,1875577,,פנס איתות אחורי בקלית,דאף cf-xf,DAF CF | DAF XF,
1262,HTP-DXF003R,Daf,CF / XF,XF,R,tail_light,lighting,פנס אחורי בקלית דאף ימין,ضوء خلفي داف يمين,DAF Tail Light – Right,פנס איתות אחורי בקלית,مصباح خلفي – يمين,Rear Tail Light – Right,130,instock,,1875578,113,פנס איתות אחורי בקלית,דאף cf-xf,DAF CF | DAF XF,
1265,HTP-DXF004L,Daf,Crafter,XF,L,tail_light_lens,lighting,מכסה בקלית אחורית דאף שמאל,غطاء ضوء خلفي داف يسار,DAF Tail Light Lens Cover – Left,מכסה פלסטיק לבקלית אחורית,عدسة المصباح الخلفي – يسار,Tail Light Lens – Left,50,instock,,1914690,,מכסה פלסטיק לבקלית אחורית,דאף.וולקסוואגן קראפטר דבל קבינה,Crafter,
1264,HTP-DXF004R,Daf,Crafter,XF,R,tail_light_lens,lighting,מכסה בקלית אחורית דאף ימין,غطاء ضوء خلفي داف يمين,DAF Tail Light Lens Cover – Right,מכסה פלסטיק לבקלית אחורית,عدسة استبدال للمصباح الخلفي – يمين,Replacement Tail Light Lens – Right,50,instock,,1914691,76,מכסה פלסטיק לבקלית אחורית,דאף.וולקסוואגן קראפטר דבל קבינה,Crafter,
1109,HTP-LF001L,Daf,LF,LF,L,tail_light,lighting,פנס אחורי בקלית דאף שמאל,ضوء خلفي داف يسار,DAF Tail Light – Left,פנס איתות אחורי בקלית,مصباح خلفي عالي الجودة – يسار,High-Quality Tail Lamp – Left,100,instock,,1401713,62-63,פנס איתות אחורי בקלית,,DAF LF,model from SKU code (check)
1108,HTP-LF001R,Daf,LF,LF,R,tail_light,lighting,פנס אחורי בקלית דאף ימין,ضوء خلفي داف يمين,DAF Tail Light – Right,פנס איתות אחורי בקלית,مصباح خلفي أصلي الجودة,Original-Quality Rear Light,100,instock,,1401731,79-80,פנס איתות אחורי בקלית,,DAF LF,model from SKU code (check)
1111,HTP-LF002,Daf,LF,LF,,tail_light_lens,lighting,מכסה בקלית אחורית דאף,غطاء ضوء خلفي داف,DAF Tail Light Lens Cover,מכסה פלסטיק לבקלית אחורית,عدسة استبدال للمصباح الخلفي,Replacement Tail Light Lens,40,instock,الجهة غير معروفة,1451482,59,מכסה פלסטיק לבקלית אחורית,דאף.וולוו.מרצדס,DAF LF,"brands only: DAF, Volvo, Mercedes; model from SKU code (check)"
1128,HTP-LF003,Daf,LF,LF,,bumper_front,body,פגוש קדמי דאף,صدام أمامي داف,DAF Front Bumper,#N/A,صادم أمامي,Front Bumper,1000,outofstock,العنوان العبري كان #N/A؛ غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1132,HTP-LF004L,Daf,LF 12 טון יורו 5,LF,L,cab_step,body,מדרגה דאף שמאל,درجة داف يسار,DAF Cab Step – Left,מדרגה דאף,لوحة دعم الدرجة – يسار,Step Support Panel – Left,900,instock,,1405247,359-368,מדרגה דאף / מדרגה כנף דרף,12 טון יורו 5,DAF LF,model inferred from tonnage
1130,HTP-LF004R,Daf,LF 12 טון יורו 5,LF,R,cab_step,body,מדרגה דאף ימין,درجة داف يمين,DAF Cab Step – Right,מדרגה דאף,لوحة تركيب الدرجة – يمين,Step Mounting Panel – Right,900,instock,,1405250,348-358,מדרגה דאף / מדרגה כנף דרף,12 טון יורו 5,DAF LF,model inferred from tonnage
1136,HTP-LF005L,Daf,LF 12-15 טון יורו 5/6,LF,L,lower_step,body,מדרגה תחתונה דאף שמאל,درجة سفلية داف يسار,DAF Lower Step – Left,מדרגה תחתונה,طقم درجة سفلية – يسار,Lower Step Kit – Left,430,instock,,1405992,,מדרגה תחתונה דאף,דאף - יורו 5 ו 6 מתאים 12-15 טון,DAF LF,model inferred from tonnage
1134,HTP-LF005R,Daf,LF 12-15 טון יורו 5/6,LF,R,lower_step,body,מדרגה תחתונה דאף ימין,درجة سفلية داف يمين,DAF Lower Step – Right,מדרגה תחתונה,درجة دخول سفلية – يمين,Lower Access Step – Right,430,instock,,1405991,282,מדרגה תחתונה דאף,דאף - יורו 5 ו 6 מתאים 12-15 טון,DAF LF,model inferred from tonnage
2623,HTP-LF007L,Daf,LF,LF,L,door_handle,body,ידית דלת דאף שמאל,مقبض باب داف يسار,DAF Door Handle – Left,ידית דלת שמאל,مقبض الباب الأيسر,Door Handle – Left,360,instock,,1407256,,ידית פתיחת דלת עם מפתיח,דאף -וולוו-רינו,DAF LF,"brands only: DAF, Volvo, Renault; model from SKU code (check)"
1140,HTP-LF007R,Daf,LF,LF,R,door_handle,body,ידית דלת עם מנעול דאף ימין,مقبض باب بقفل داف يمين,DAF Door Handle with Lock – Right,ידית פתיחת דלת עם מפתיח,مقبض الباب الخارجي – يمين,Outer Door Handle – Right,360,instock,,1406622,133,ידית פתיחת דלת עם מפתיח,דאף -וולוו-רינו,DAF LF,"brands only: DAF, Volvo, Renault; model from SKU code (check)"
2625,HTP-LF008L,Daf,LF,LF,L,headlight_frame,lighting,מסגרת פנס קדמי דאף שמאל,إطار ضوء أمامي داف يسار,DAF Headlight Frame – Left,מסגרת פנס שמאל,إطار المصباح – يسار,Headlight Frame – Left,450,instock,,,,,,DAF LF,not in inventory; model from SKU code (check)
2624,HTP-LF008R,Daf,LF,LF,R,headlight_frame,lighting,מסגרת פנס קדמי דאף ימין,إطار ضوء أمامي داف يمين,DAF Headlight Frame – Right,מסגרת פנס ימין,إطار المصباح – يمين,Headlight Frame – Right,450,instock,,,,,,DAF LF,not in inventory; model from SKU code (check)
2627,HTP-LF009-1,Daf,LF,LF,,grille_front,body,גריל קדמי דאף,شبك أمامي داف,DAF Front Grille,גריל קדמי דאף,شبك أمامي دي إيه إف,DAF Front Grille,650,instock,,,,,,DAF LF,not in inventory; model from SKU code (check)
1152,HTP-LF010L,Daf,LF 12-15 טון יורו 6,LF,L,corner_panel_front,body,מסית רוח כנף קדמית דאף שמאל,كاسر هواء زاوية أمامية داف يسار,DAF Front Corner Panel (Wind Deflector) – Left,מסית רוח כנף קדמי,لوحة زاوية المقصورة الأمامية – يسار,Front Cab Corner Panel – Left,470,instock,,1400710,340-347,מסית רוח כנף קדמי דאף,15-12טון יורו 6,DAF LF,model inferred from tonnage
2628,HTP-LF010R,Daf,LF 12-15 טון יורו 5,LF,R,corner_panel,body,לוח פינה דאף ימין,لوح زاوية داف يمين,DAF Corner Panel – Right,לוח פינה ימין,لوحة زاوية – يمين,Corner Panel – Right,470,instock,,1400711,315-322,מסית רוח כנף קדמי דאף,15-12טון יורו 5,DAF LF,model inferred from tonnage
1154,HTP-LF011-1,Daf,LF,LF,,bumper_front,body,פגוש קדמי דאף,صدام أمامي داف,DAF Front Bumper,פגוש קדמי דאף,غطاء صادم أمامي (بدون ثقوب تركيب),Front Bumper Cover (No Mounting Holes),900,instock,,1405767               1405032,21-35,פגוש קדמי דאף,,DAF LF,model from SKU code (check)
2629,HTP-LF012,Daf,LF,LF,,lower_front_panel,body,לוח קדמי תחתון דאף,لوح أمامي سفلي داف,DAF Lower Front Panel,לוח קדמי תחתון,لوحة أمامية سفلية,Lower Front Panel,500,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2630,HTP-LF013,Daf,LF,LF,,grille_front,body,גריל קדמי דאף,شبك أمامي داف,DAF Front Grille,גריל,شبك أمامي,Front Grille,300,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1160,HTP-LF014,Daf,LF 12-15 טון יורו 5,LF,,sun_visor,body,מגן שמש קדמי דאף,واقية شمس أمامية داف,DAF Front Sun Visor,מגן שמש קדמי,واقي شمس للمقصورة,Cab Sun Visor,1100,instock,,1742638,164,מגן שמש קדמי,12טון-15טון יורו 5,DAF LF,model inferred from tonnage
2632,HTP-LF015L,Daf,LF,LF,L,headlight_xenon,lighting,פנס קדמי קסנון דאף שמאל,ضوء أمامي زينون داف يسار,DAF Xenon Headlight – Left,פנס קסנון שמאל,مصباح زينون أيسر,Xenon Headlight – Left,450,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2631,HTP-LF015R,Daf,LF,LF,R,headlight_xenon,lighting,פנס קדמי קסנון דאף ימין,ضوء أمامي زينون داف يمين,DAF Xenon Headlight – Right,פנס קסנון ימין,مصباح زينون أيمن,Xenon Headlight – Right,450,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1166,HTP-LF020,Daf,LF,LF,,coolant_tank,engine,מיכל עיבוי דאף,خزان مياه التبريد داف,DAF Coolant Expansion Tank,#N/A,خزان توسّع سائل التبريد,Coolant Expansion Tank,600,outofstock,العنوان العبري كان #N/A؛ غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1170,HTP-LF021L,Daf,LF 12 טון יורו 5,LF,L,mud_guard,body,מגן פוטס דאף שמאל,رفرف (واقي طين) داف يسار,DAF Mud Guard – Left,מגן פוטס,واقي طين أمامي – يسار,Front Mud Guard – Left,300,instock,,1405038,,מגן פוטס,12  טון יורו 5,DAF LF,model inferred from tonnage
1168,HTP-LF021R,Daf,LF 12 טון יורו 5,LF,R,mud_guard,body,מגן פוטס דאף ימין,رفرف (واقي طين) داف يمين,DAF Mud Guard – Right,מגן פוטס,واقي طين أمامي – يمين,Front Mud Guard – Right,300,instock,,1405039,284,מגן פוטס,12  טון יורו 5,DAF LF,model inferred from tonnage
2633,HTP-LF022,Daf,LF,LF,,air_filter_cover,filters,מכסה מסנן אוויר דאף,غطاء فلتر الهواء داف,DAF Air Filter Cover,מכסה מסנן אוויר,غطاء فلتر الهواء,Air Filter Cover,100,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2635,HTP-LF024L,Daf,LF,LF,L,wiper_panel,body,לוח מגבים דאף שמאל,لوح المسّاحات داف يسار,DAF Wiper Panel – Left,לוח מגב שמאל,لوحة ماسحات – يسار,Wiper Panel – Left,100,outofstock,بدون صورة؛ غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2634,HTP-LF024R,Daf,LF,LF,R,wiper_panel,body,לוח מגבים דאף ימין,لوح المسّاحات داف يمين,DAF Wiper Panel – Right,לוח מגב ימין,غطاء محرك الماسحات – يمين,Wiper Motor Cover – Right,100,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2636,HTP-LF025,Daf,LF,LF,,wiper_panel,body,לוח מגבים מרכזי דאף,لوح المسّاحات أوسط داف,DAF Wiper Panel Centre,לוח מגב מרכזי,لوحة ماسحات مركزية,Central Wiper Panel,100,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1179,HTP-LF029L,Daf,LF 15-18 טון יורו 5,LF,L,lower_step,body,מדרגה תחתונה דאף שמאל,درجة سفلية داف يسار,DAF Lower Step – Left,מדרגה תחתונה,طقم درجة سفلية – يسار,Lower Step Kit – Left,450,instock,,1405988,273-277,מדרגה תחתונה דאף,דאף יורו 5  15 - 18 טון,DAF LF,model inferred from tonnage
1178,HTP-LF029R,Daf,LF 15-18 טון יורו 5,LF,R,lower_step,body,מדרגה תחתונה דאף ימין,درجة سفلية داف يمين,DAF Lower Step – Right,מדרגה תחתונה,درجة دخول سفلية – يمين,Lower Access Step – Right,450,instock,,1405989,268-272,מדרגה תחתונה דאף,דאף יורו 5  15 - 18 טון,DAF LF,model inferred from tonnage
1180,HTP-LF030,Daf,LF 12 טון יורו 6,LF,,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף,زاوية صدام أمامي داف,DAF Front Bumper Corner,משקפים,صادم أمامي – طراز قصير,Front Bumper – Short Version,1250,instock,,1706953,232-235,משקפים דאף,צבע לבן מקורי 12 טון יורו 6,DAF LF,model inferred from tonnage
2637,HTP-LF031,Daf,LF,LF,,bumper_front_large,body,פגוש קדמי גדול דאף,صدام أمامي كبير داف,DAF Large Front Bumper,פגוש קדמי גדול,صادم أمامي كبير,Large Front Bumper,1250,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1183,HTP-LF032L,Daf,LF 12-15 טון יורו 6,LF,L,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף שמאל,زاوية صدام أمامي داف يسار,DAF Front Bumper Corner – Left,מעריך פגוש קדמי דאף,قطعة زاوية الصادم – يسار,Bumper Corner Piece – Left,100,instock,,1405880,408,מעריך פגוש קדמי דאף,יורו 6 15-12טון,DAF LF,model inferred from tonnage
1182,HTP-LF032R,Daf,LF 12-15 טון יורו 6,LF,R,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף ימין,زاوية صدام أمامي داف يمين,DAF Front Bumper Corner – Right,מעריך פגוש קדמי דאף,قطعة زاوية الصادم – يمين,Bumper Corner Piece – Right,100,instock,,1405881,407,מעריך פגוש קדמי דאף,יורו 6 15-12טון,DAF LF,model inferred from tonnage
2639,HTP-LF033L,Daf,LF 10-12 טון יורו 6,LF,L,bumper_corner_cover,body,מכסה משקפיים דאף שמאל,غطاء زاوية صدام داف يسار,DAF Front Bumper Corner Cover – Left,מכסה משקפים,غطاء زاوية الصادم الأمامي – يسار,Front Bumper Corner Cover – Left,100,instock,,1405010,410,מכסה משקפים דאף,מתאים יורו 6 10 - 12 טון,DAF LF,model inferred from tonnage
2638,HTP-LF033R,Daf,LF 10-12 טון יורו 6,LF,R,bumper_corner_cover,body,מכסה משקפיים דאף ימין,غطاء زاوية صدام داف يمين,DAF Front Bumper Corner Cover – Right,מכסה משקפים,غطاء زاوية الصادم الأمامي – يمين,Front Bumper Corner Cover – Right,100,instock,,1405011,409,מכסה משקפים דאף,מתאים יורו 6 10 - 12 טון,DAF LF,model inferred from tonnage
2640,HTP-LF037,Daf,LF,LF,,mirror_front,body,מראה קדמית דאף,مرآة أمامية داف,DAF Front Mirror,מראה קדמית,مرآة أمامية,Front Mirror,470,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2641,HTP-LF038,Daf,LF,LF,,mirror,body,מראה דאף,مرآة داف,DAF Mirror,מראה,زجاج المرآة,Mirror Glass / Head,500,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2642,HTP-LF039,Daf,LF,LF,,mirror_kit,body,ערכת מראה דאף,طقم مرآة داف,DAF Mirror Kit,ערכת מראה,طقم مرآة,Mirror Kit,500,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1191,HTP-LF040,Daf,LF 12-15 טון יורו 6,LF,,bumper_front,body,פגוש קדמי דאף,صدام أمامي داف,DAF Front Bumper,פגוש קדמי דאף,صادم أمامي رمادي (تحضيري),Front Bumper – Grey Primer,1100,instock,,1706972,134-163,פגוש קדמי דאף,דאף - יור 6 מתאים 12-15 טון,DAF LF,model inferred from tonnage
1192,HTP-LF041,Daf,LF 12 טון,LF,,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף,زاوية صدام أمامي داف,DAF Front Bumper Corner,משקפים,صادم أمامي قياسي,Standard Front Bumper,950,instock,,1706954,204-210,משקפים  דאף 12 טון,דאף 12 טון,DAF LF,model inferred from tonnage
1193,HTP-LF042,Daf,LF 12-15 טון יורו 6,LF,,bumper_front,body,פגוש קדמי דאף,صدام أمامي داف,DAF Front Bumper,פגוש קדמי,طقم صادم أمامي,Front Bumper Kit,1100,instock,,1706975,211-230,פגוש קדמי דאף,דאף יורו 6 15-12 טון,DAF LF,model inferred from tonnage
2644,HTP-LF043L,Daf,LF,LF,L,step_wall,body,קיר תמיכת מדרגה דאף שמאל,جدار دعم الدرجة داف يسار,DAF Step Support Wall – Left,קיר תמיכת מדרגה שמאל,جدار دعم الدرجة – يسار,Step Support Wall – Left,,outofstock,بدون سعر؛ غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2643,HTP-LF043R,Daf,LF,LF,R,step_wall,body,קיר תמיכת מדרגה דאף ימין,جدار دعم الدرجة داف يمين,DAF Step Support Wall – Right,קיר תמיכת מדרגה ימין,جدار دعم الدرجة – يمين,Step Support Wall – Right,,outofstock,بدون سعر؛ غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2646,HTP-LF044L,Daf,LF,LF,L,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף שמאל,زاوية صدام أمامي داف يسار,DAF Front Bumper Corner – Left,חתיכת פינת פגוש שמאל,قطعة زاوية الصادم – يسار,Bumper Corner Piece – Left,100,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2645,HTP-LF044R,Daf,LF,LF,R,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף ימין,زاوية صدام أمامي داف يمين,DAF Front Bumper Corner – Right,חתיכת פינת פגוש ימין,قطعة زاوية الصادم – يمين,Bumper Corner Piece – Right,100,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1202,HTP-LF045L,Daf,LF,LF,L,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף שמאל,زاوية صدام أمامي داف يسار,DAF Front Bumper Corner – Left,#N/A,لوحة زاوية الصادم – يسار,Bumper Corner Panel – Left,70,outofstock,العنوان العبري كان #N/A؛ غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2647,HTP-LF045R,Daf,LF,LF,R,bumper_corner,body,פינת פגוש קדמי (משקפיים) דאף ימין,زاوية صدام أمامي داف يمين,DAF Front Bumper Corner – Right,לוח פינת פגוש ימין,لوحة زاوية الصادم – يمين,Bumper Corner Panel – Right,70,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1206,HTP-LF046L,Daf,LF 12-15 טון יורו 6,LF,L,corner_panel_front,body,מסית רוח כנף קדמית דאף שמאל,كاسر هواء زاوية أمامية داف يسار,DAF Front Corner Panel (Wind Deflector) – Left,מסית רוח כנף קדמי,لوحة زاوية المقصورة الأمامية – يسار,Front Cab Corner Panel – Left,570,instock,,1709693,,מסית רוח כנף קדמי דאף,דאף יורו 6 15-12 טון,DAF LF,model inferred from tonnage
1204,HTP-LF046R,Daf,LF 12-15 טון יורו 6,LF,R,corner_panel_front,body,מסית רוח כנף קדמית דאף ימין,كاسر هواء زاوية أمامية داف يمين,DAF Front Corner Panel (Wind Deflector) – Right,מסית רוח כנף קדמי,لوحة زاوية المقصورة الأمامية – يمين,Front Cab Corner Panel – Right,570,instock,,1709694,203,מסית רוח כנף קדמי דאף,דאף יורו 6 15-12 טון,DAF LF,model inferred from tonnage
1210,HTP-LF047L,Daf,TGL 2005-2021 / TGM 2005-2021,LF,L,corner_panel_outer,body,מסית רוח חיצוני דאף שמאל,كاسر هواء خارجي داف يسار,DAF Outer Wind Deflector Panel – Left,מסית רוח חיצוני מאן,إطار تركيب المصباح – يسار,Headlight Mounting Frame – Left,480,instock,,1707002,401,מסית רוח חיצוני מאן,tgl 2005-2021 tgm 2005-2024,MAN TGL 2005-2021 | MAN TGM 2005-2021,TGM end year → 2021 (Excel autofill)
1208,HTP-LF047R,Daf,TGL 2005-2021 / TGM 2005-2021,LF,R,corner_panel_outer,body,מסית רוח חיצוני דאף ימין,كاسر هواء خارجي داف يمين,DAF Outer Wind Deflector Panel – Right,מסית רוח חיצוני מאן,إطار دعم المصباح – يمين,Headlight Support Frame – Right,480,instock,,1707003,400,מסית רוח חיצוני מאן,tgl 2005-2021 tgm 2005-2023,MAN TGL 2005-2021 | MAN TGM 2005-2021,TGM end year → 2021 (Excel autofill)
1212,HTP-LF048,Daf,LF 12-15 טון יורו 6,LF,,grille_front,body,גריל קדמי דאף,شبك أمامي داف,DAF Front Grille,גריל קדמי דאף,لوحة الشبك السفلي,Lower Grille Panel,700,instock,,1707123 1715395,396-399,גריל קדמי דאף,יורו 6 15-12טון,DAF LF,model inferred from tonnage
2649,HTP-LF049L,Daf,LF,LF,L,side_step,body,מדרגת צד דאף שמאל,درجة جانبية داف يسار,DAF Side Step – Left,מדרגת צד שמאל,درجة جانبية – يسار,Side Step – Left,400,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2648,HTP-LF049R,Daf,LF,LF,R,side_step,body,מדרגת צד דאף ימין,درجة جانبية داف يمين,DAF Side Step – Right,מדרגת צד ימין,درجة جانبية – يمين,Side Step – Right,400,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1218,HTP-LF051L,Daf,LF 15 טון יורו 6,LF,L,headlight_bracket,lighting,תושבת פנס קדמי דאף שמאל,قاعدة ضوء أمامي داف يسار,DAF Headlight Bracket – Left,תושבת פנס קדמי חזית,حامل المصباح الأمامي – يسار,Headlight Bracket – Left,500,instock,,1706992,402,תושבת פנס קדמי חזית / תושבת פנס,15 טון יורו 6,DAF LF,model inferred from tonnage
1220,HTP-LF051R,Daf,LF 15 טון יורו 6,LF,R,headlight_bracket,lighting,תושבת פנס קדמי דאף ימין,قاعدة ضوء أمامي داف يمين,DAF Headlight Bracket – Right,תושבת פנס קדמי חזית,حامل المصباح الأمامي – يمين,Headlight Bracket – Right,500,instock,,1706993,403,תושבת פנס קדמי חזית / תושבת פנס,15 טון יורו 6,DAF LF,model inferred from tonnage
1224,HTP-LF052L,Daf,LF 10-12 טון יורו 5/6,LF,L,cab_step,body,מדרגה דאף שמאל,درجة داف يسار,DAF Cab Step – Left,מדרגה,طقم درجة – يسار,Step Kit – Left,900,instock,,1707845,241-245,מדרגה / מדרגת כנף דאף,דאף יורו 5 ו 6 10 - 12 טון,DAF LF,model inferred from tonnage
1222,HTP-LF052R,Daf,LF 10-12 טון יורו 5/6,LF,R,cab_step,body,מדרגה דאף ימין,درجة داف يمين,DAF Cab Step – Right,מדרגה,درجة مقصورة – يمين,Cab Step – Right,900,instock,,1707846,236-240,מדרגה / מדרגת כנף דאף,דאף יורו 5 ו 6 10 - 12 טון,DAF LF,model inferred from tonnage
2651,HTP-LF053L,Daf,LF,LF,L,access_step,body,מדרגת גישה דאף שמאל,درجة صعود داف يسار,DAF Access Step – Left,מדרגת גישה שמאל,درجة دخول – يسار,Access Step – Left,400,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
2650,HTP-LF053R,Daf,LF,LF,R,access_step,body,מדרגת גישה דאף ימין,درجة صعود داف يمين,DAF Access Step – Right,מדרגת גישה ימין,درجة دخول – يمين,Access Step – Right,400,outofstock,غير متوفر,,,,,DAF LF,not in inventory; model from SKU code (check)
1231,HTP-LF054L,Daf,LF 12 טון,LF,L,bumper_fog_cover,body,כיסוי ערפל לפגוש קדמי 12 טון דאף שמאל,غطاء ضوء ضباب للصدام الأمامي 12 طن داف يسار,DAF Front Bumper Fog Light Cover 12-Tonne – Left,כיסוי ערפל לפגוש קדמי דאף 12 טון,غطاء الصادم – يسار (12 طن),Bumper Cover – Left (12-Tonne),150,instock,,1706984,,כיסוי ערפל לפגוש קדמי דאף 12 טון,כיסוי ערפל לפגוש קדמי דאף 12 טון,DAF LF,model inferred from tonnage
1230,HTP-LF054R,Daf,LF 12 טון,LF,R,bumper_fog_cover,body,כיסוי ערפל לפגוש קדמי 12 טון דאף ימין,غطاء ضوء ضباب للصدام الأمامي 12 طن داف يمين,DAF Front Bumper Fog Light Cover 12-Tonne – Right,כיסוי ערפל לפגוש קדמי דאף 12 טון,غطاء صادم أمامي – يمين (12 طن),Front Bumper Cover – Right (12-Tonne),150,instock,,1706985,,כיסוי ערפל לפגוש קדמי דאף 12 טון,כיסוי ערפל לפגוש קדמי דאף 12 טון,DAF LF,model inferred from tonnage
